"","1ayWM2CHIPOOB100705","oAVVM2CHIPOOB051360","3xfYM2CHIPOOA051365","jYxWM2CHIPOOB051110","hoQoM2CHIPOOA051115","eBCjM2CHIPOOBXX1180","j1iWM2CHIPOOBXX1561"
"Neisseria","6814","5984","3031","2320","9118","4518","1706"
"Crenobacter","3714","4148","2043","1556","6261","3128","1205"
"Chitinolyticbacter","2220","2145","1066","850","3207","1585","613"
"Vitreoscilla","1396","1078","515","376","1522","859","289"
"Kingella","851","835","399","331","1200","611","193"
"Uruburuella","613","455","273","212","764","444","146"
"Eikenella","668","683","364","264","876","504","196"
"Paralysiella","268","216","122","90","400","148","64"
"Alysiella","146","123","90","43","158","98","50"
"Conchiformibius","193","123","54","72","260","67","14"
"Aquella","74","54","18","19","56","141","0"
"Snodgrassella","52","149","40","23","70","36","13"
"Simonsiella","43","43","0","17","28","15","0"
"Morococcus","168","217","90","0","317","126","0"
"Casimicrobium","3230","2817","1680","1372","4886","2385","880"
"Candidatus_Kinetoplastibacterium","64","63","27","16","76","46","19"
"Candidatus_Profftella","24","28","14","0","26","0","0"
"Lysobacter","335139","219240","82164","56392","192953","72217","33675"
"Stenotrophomonas","337225","61521","30744","19205","75897","33702","14365"
"Luteimonas","279620","41540","19241","12980","51075","20153","9644"
"Pseudoxanthomonas","128416","109806","27546","10962","41762","20771","7777"
"Xanthomonas","120021","53863","27943","29169","76451","36278","17195"
"Thermomonas","39211","28030","10629","6386","24981","9818","5136"
"Arenimonas","21657","23703","6751","1808","6674","3054","1194"
"Pseudolysobacter","2403","1506","965","748","2415","1546","723"
"Xylella","786","568","298","226","765","332","134"
"Rhodanobacter","20183","10762","6503","4977","18178","9740","5994"
"Luteibacter","17923","11773","7305","5399","19858","10945","5849"
"Dyella","13808","8723","5406","4151","14495","8042","5002"
"Frateuria","10497","6968","4122","3258","11489","8505","8131"
"Dokdonella","8071","5412","3311","2357","8999","5567","2576"
"Aerosticca","6104","4771","2968","2573","9324","4886","2682"
"Ahniella","1849","1255","761","561","1929","973","390"
"Pseudomonas","551040","686905","510333","111750","531520","267292","81587"
"Azotobacter","7829","6382","4527","2187","14486","4401","1620"
"Halopseudomonas","4238","3236","1966","1355","5774","2413","834"
"Permianibacter","751","685","356","301","1015","418","132"
"Thiopseudomonas","93","70","38","25","85","56","22"
"Entomomonas","72","59","22","15","57","37","12"
"Marinobacter","8084","5975","3781","2559","10978","4858","1541"
"Klebsiella","42021","50178","29593","17249","72827","32406","19668"
"Raoultella","2610","1742","1223","832","3771","1715","771"
"Enterobacter","18987","13879","11164","7882","33654","11298","5748"
"Leclercia","8165","2264","1417","818","3763","2004","676"
"Citrobacter","7063","4706","3147","3847","8701","4171","1399"
"Kosakonia","2605","1634","1061","748","2719","1454","483"
"Cronobacter","2612","1905","1253","874","3513","1839","664"
"Salmonella","34913","32916","23459","14975","76286","27775","7819"
"Pseudescherichia","1639","187","128","80","355","218","74"
"Pluralibacter","1738","1298","829","597","2408","1104","383"
"Lelliottia","1668","620","435","300","1146","602","198"
"Escherichia","16988","9928","12931","11917","24896","13411","2712"
"Cedecea","1314","950","621","424","1627","827","222"
