"","SRR17408286"
"3031114",1533
"3015167",1531
"319939",1530
"556288",1529
"2541726",1526
"2592652",1526
"2083284",1524
"2601677",1521
"2782678",1521
"2758710",1520
"2862869",1520
"47759",1519
"36863",1518
"1069",1517
"2493675",1513
"564369",1513
"1384459",1511
"2806262",1511
"74313",1511
"2742145",1507
"1229727",1506
"545619",1506
"3016006",1505
"2708338",1504
"37923",1502
"370777",1501
"29449",1500
"2762331",1499
"1783515",1498
"2851650",1498
"128785",1497
"192812",1496
"1758194",1495
"420953",1495
"2904253",1494
"36805",1493
"2734",1492
"3069708",1492
"444103",1492
"93220",1492
"173366",1491
"42256",1491
"165696",1488
"2601898",1488
"2855503",1487
"2896849",1487
"2763317",1485
"191493",1483
"2170729",1482
"388459",1479
"1810504",1477
"1605891",1474
"75697",1472
"912630",1472
"2865112",1469
"134536",1468
"3049069",1468
"692036",1467
"743009",1467
"155177",1463
"2867012",1462
"187303",1460
"3064901",1460
"1416803",1458
"2763257",1457
"2978473",1457
"682998",1457
"2715959",1456
"2926709",1456
"47853",1456
"2017685",1455
"2498452",1455
"84159",1455
"2970464",1452
"85643",1452
"2890321",1450
"33057",1450
"653931",1450
"945844",1450
"2080742",1449
"2925842",1449
"3016103",1449
"2968086",1448
"1663591",1443
"2994664",1433
"71433",1432
"2880218",1431
"370524",1431
"2589967",1427
"2879617",1427
"2972485",1427
"2901869",1426
"2675225",1425
"3068893",1425
"2949093",1424
"795665",1424
"37487",1423
"3020055",1422
"2762323",1419
"69367",1418
"2056258",1416
"482957",1416
"2585717",1415
"80679",1412
"2762322",1409
"2997354",1409
"2571749",1408
"3073268",1408
"34070",1408
"2419844",1407
"323620",1406
"128780",1401
"2762748",1401
"1123043",1400
"2811421",1400
"47850",1400
"2614639",1397
"2872309",1395
"337004",1395
"2663859",1393
"36822",1393
"198107",1392
"3064288",1392
"43669",1391
"188770",1388
"43057",1388
"37914",1387
"2830998",1385
"110321",1384
"1752398",1384
"185951",1383
"1744",1382
"2895818",1382
"1325564",1381
"2779775",1381
"2027405",1379
"2811104",1377
"2895559",1376
"1712261",1372
"1793722",1370
"2608999",1369
"2899220",1368
"2028343",1367
"237610",1367
"49",1367
"69665",1367
"337191",1364
"445709",1363
"1763828",1362
"3050384",1362
"128",1361
"152500",1361
"194963",1359
"2108470",1358
"2932245",1358
"2963406",1358
"68280",1358
"249058",1354
"533",1353
"1897060",1349
"1386",1347
"2813577",1346
"1905847",1344
"1593482",1341
"1750",1341
"1612173",1336
"2986923",1336
"51671",1336
"280",1335
"68278",1335
"1331682",1330
"1385591",1330
"2099695",1330
"1357915",1329
"39960",1329
"2774190",1328
"1285192",1327
"215691",1327
"2594473",1326
"674079",1326
"2072590",1324
"2527995",1324
"1938841",1323
"286727",1322
"2962064",1321
"450378",1321
"1437453",1320
"2589888",1319
"551760",1319
"556499",1319
"76116",1318
"2711156",1316
"1517554",1315
"1545044",1315
"1784719",1315
"242605",1315
"2705399",1315
"2925844",1315
"36861",1315
"2576891",1314
"2759707",1313
"321984",1310
"2341112",1309
"2686094",1309
"1935379",1307
"78331",1307
"2851648",1306
"2565555",1305
"132919",1304
"68175",1303
"3031712",1301
"2071627",1300
"2818388",1300
"1226968",1299
"2493671",1299
"3075605",1299
"2613773",1298
"103855",1297
"563835",1296
"2016596",1295
"1660",1293
"2072413",1291
"2875948",1291
"2911539",1291
"367477",1291
"1379903",1289
"2840373",1288
"65741",1288
"2026624",1287
