"","SRR4142418","SRR4141180"
"1783515",9034,5286
"475937",3568,9031
"2528964",3549,9030
"2714938",2080,9022
"864828",2347,9015
"37921",2199,9014
"1766",3633,9008
"1615494",9003,350
"435897",4707,8982
"3075430",1564,8960
"43767",2765,8960
"152480",8244,8958
"161493",3226,8958
"36818",2754,8954
"2061",2623,8951
"1789672",3260,8949
"2653200",3828,8943
"2498135",2675,8938
"2928472",3609,8904
"1663",1891,8902
"467094",3319,8887
"1535768",3136,8885
"39695",2391,8878
"2219696",2534,8868
"2898433",2894,8868
"1977088",4304,8859
"85025",2479,8858
"710705",5110,8845
"1810",2045,8840
"2780091",4474,8831
"3027808",2009,8795
"147645",8786,3162
"2045208",2764,8785
"2867005",2635,8777
"1176198",2544,8762
"258505",2408,8754
"2692234",2960,8752
"1740721",8742,2172
"2283195",2254,8715
"2742135",2416,8714
"2566013",2355,8709
"1907",3940,8705
"1658671",2021,8666
"3064139",2715,8666
"184914",3298,8640
"424188",4409,8639
"31",3330,8628
"2585716",2937,8623
"2049881",3578,8622
"1133546",2308,8618
"480035",2607,8618
"173480",2226,8614
"1702325",3505,8613
"2596913",2522,8595
"2695266",5189,8590
"1907575",1901,8577
"1950",3256,8575
"1630693",2979,8569
"2684468",4211,8555
"2801029",4134,8550
"2714952",2722,8537
"3028709",2704,8527
"2762322",2668,8519
"482462",2469,8513
"1225128",2539,8512
"1911",2839,8503
"648995",863,8496
"2861782",2068,8491
"252970",8488,6044
"2599297",2814,8475
"665007",4449,8469
"324057",8461,1270
"2894789",8458,29
"1470176",2633,8447
"1859",2199,8422
"202862",2654,8421
"3075825",3253,8419
"39694",2322,8411
"3070676",8408,1465
"316",3112,8408
"2775420",3024,8401
"2937788",2430,8401
"675281",3773,8395
"1090615",1980,8394
"3016089",2376,8384
"2072505",5442,8381
"2492396",8374,1535
"2879939",8366,142
"106590",3178,8363
"1323731",2488,8359
"2904790",2285,8351
"1654",2477,8321
"139208",2347,8311
"215580",2534,8273
"3016090",2433,8272
"571913",1987,8259
"2590772",2785,8256
"1850238",2868,8244
"530584",2674,8237
"76862",2464,8235
"2509458",2166,8224
"39688",2301,8222
"104663",1660,8218
"1904616",4127,8216
"2364647",8213,925
"209247",2140,8210
"2932244",2338,8200
"1045776",3221,8188
"3033811",2801,8184
"107709",2944,8167
"85012",2192,8166
"2750011",2874,8157
"589382",2156,8157
"3051092",4455,8152
"228602",2433,8151
"2041",2325,8144
"2949093",2313,8129
"3075198",2818,8122
"442121",3433,8113
"2866715",2630,8108
"2972485",2207,8105
"1670830",2491,8100
"1804",2147,8080
"2969621",3327,8080
"114686",3723,8077
"168695",2308,8063
"479978",2012,8053
"72763",2092,8050
"2933563",8041,534
"57704",2305,8031
"563835",2504,8030
"69277",4360,8030
"2282523",2443,8020
"2585135",2107,8017
"2483799",2064,8006
"67267",2795,8006
"2745197",1630,8005
"372663",2160,8002
"1858653",2298,7984
"33050",2797,7981
"34029",2357,7974
"2801030",3802,7969
"44010",2654,7951
"280236",2140,7945
"37927",1912,7934
"2991545",2181,7920
"2698679",2707,7919
"2879846",2847,7916
"2675233",7912,297
"1714373",2297,7904
"2015316",3313,7898
"1792",2221,7887
"1608957",2615,7877
"3034022",2706,7874
"1632864",3422,7868
"67282",3774,7863
"158500",2589,7853
"1828",2257,7844
"921",3700,7827
"1404768",2308,7818
"758793",2040,7818
"2997354",2385,7794
"88138",1267,7794
"1792307",3536,7780
"220927",2429,7778
"13690",2683,7760
"3016419",2228,7760
"162426",2211,7759
"106370",1944,7756
"3039386",2368,7737
"67287",3835,7733
"2838850",3064,7729
"68200",2523,7721
"134601",2255,7716
"2509457",2164,7712
"1797",2325,7707
"1404443",2936,7703
"1330547",7698,1725
"40318",3318,7698
"1854",2042,7695
"1736306",2055,7688
"2782659",2800,7686
"2650471",4346,7680
"453783",7024,7680
"80860",7004,7680
"2560330",7677,38
"2233851",3281,7676
"2201350",2466,7674
"3048535",7665,1388
"83461",2795,7664
"285450",3696,7654
"553510",2554,7585
"2498704",2059,7584
"402297",1891,7579
"185642",2356,7578
"3031124",3681,7567
"1353891",1824,7557
"2675232",7556,1656
"2079793",1974,7553
"2171623",2051,7551
"1325102",2652,7548
"1882747",3088,7548
"1813871",1343,7544
"2039870",2180,7536
"42881",3610,7534
"3024246",1991,7533
"3016096",2174,7528
"653931",2450,7527
"413882",2470,7507
"1858",1887,7506
"2984338",2342,7503
"486398",7487,1205
"2762325",1767,7483
"2904252",2006,7481
"659012",2122,7480
"1711",2128,7478
"907364",4387,7478
"3039384",2036,7476
"352475",3094,7471
"2968084",2056,7470
"68895",2972,7456
"3015167",2129,7445
"1442032",3819,7442
"2968085",2075,7432
"1047172",2335,7430
"75682",2330,7427
"1404411",2941,7424
"1967",2543,7412
"2593653",3638,7412
"244734",2086,7405
"3015996",2545,7395
"1545728",1738,7393
"1670831",2378,7390
"577492",1728,7389
"862751",2584,7386
"453304",2045,7383
"85413",3214,7378
"2998080",2327,7376
"40567",2328,7376
"661481",1351,7373
"2894787",7372,30
"1736046",2511,7367
"1805827",2077,7367
"2686304",3264,7358
"2944250",7358,6809
"42197",2413,7353
"66892",2384,7348
"1597781",2363,7344
"2914710",2227,7325
"2816956",1859,7321
"2584466",4178,7302
"2714937",1889,7301
"2600304",2014,7294
"348043",3570,7287
"1534349",1676,7283
"2755382",2126,7275
"40988",2135,7257
"1801",2084,7249
"1619308",1850,7245
"2662397",2779,7242
"43348",2051,7236
"3068632",2942,7219
"2857060",2022,7199
"35621",2862,7198
"120959",2099,7187
"627192",2075,7167
"31989",2916,7165
"639200",2052,7136
"34070",1444,7131
"2057",2318,7126
"1379270",1775,7125
"2736649",1900,7116
"53458",1702,7110
"2904523",1628,7107
"3075197",2487,7105
"1817965",2662,7101
"2063",1790,7096
"2020412",2878,7093
"356302",2671,7081
"3009077",2057,7074
"273677",1979,7065
"1245",6215,7064
"2203205",2638,7061
"2890321",2018,7055
"28077",2598,7052
"2059884",2245,7048
"38300",4009,7032
"2735133",1895,7028
"722731",2188,7011
"1079",2773,6999
"37330",2049,6997
"3068633",1974,6981
"1288636",1730,6979
"28047",2020,6962
"2528024",3827,6957
"3064278",1751,6957
"163604",1990,6954
"53335",5334,6946
"2778370",6941,965
"60920",1767,6939
"2906072",2947,6931
"67581",3453,6931
"563996",2084,6929
"2233999",2513,6926
"2665642",1953,6926
"2843330",2320,6926
"3028710",2525,6925
"2382165",2056,6924
"470",5899,6923
"2819979",1909,6921
"11",1876,6920
"1536772",6919,2631
"1892",2314,6919
"2837956",2590,6910
"2570229",3076,6905
"80865",2463,6903
"2676871",2682,6901
"2675225",2218,6896
"1823",2181,6890
"1784",1787,6888
"2608402",1869,6888
"3014995",1935,6886
"2837506",6883,115
"396",2347,6871
"185951",1917,6868
"2055889",1927,6868
"29580",2234,6850
"3070680",6840,1336
"658062",1890,6840
"2567934",1671,6838
"2293571",2256,6825
"82380",1853,6824
"3018929",723,6821
"1775",1792,6816
"1932",2918,6815
"1308863",6814,25
"2749991",2116,6813
"1179673",1926,6812
"2782169",1930,6803
"1893",2405,6800
"2897334",1823,6799
"3056937",2303,6795
"186189",1709,6792
"110937",1888,6779
"2937787",1859,6771
"3064286",1935,6766
"1176649",673,6755
"2703788",2450,6749
"708113",3648,6749
