"Genus" "Species"
"3412" "Bingvirus" "bing"
"3512" "Stenotrophomonas" "sp._17(2023)"
"3612" "Anaerobacillus" "isosaccharinicus"
"3712" "Gracilibacillus" "salitolerans"
"3812" "Pukyongia" "salina"
"3911" "Maribacter" "sp._MJ134"
"4011" "Cellulophaga" "baltica"
"4111" "Methylophaga" "marina"
"4211" "Sulfurospirillum" "diekertiae"
"4311" "Lentibacillus" "daqui"
"4411" "Bacteroides" "intestinalis"
"4511" "Bdellovibrio" "s"
"4611" "Lacticaseibacillus" "rhamnosus"
"4711" "Legionella" "cherrii"
"4811" "Caproicibacterium" "amylolyticum"
"496" "Enterococcus" "raffinosus"
"502" "Aquirufa" "s"
"514" "Tumebacillus" "s"
"522" "Rickettsiella" "Candidatus_Rickettsiella_viridis"
"1101" "Acinetobacter" "calcoaceticus"
"2101" "Acinetobacter" "lactucae"
"3101" "Arthrobacter" "sp._NtRootA1"
"493" "Brasilonema" "sennae"
"511" "Vibrio" "anguillarum"
"611" "Arthrobacter" "sp._YN"
"711" "Bacillus" "sp._JAS24-2"
"811" "Bacillus" "albus"
"911" "Bacillus" "sp._N5-665"
"1011" "Archangium" "s"
"1111" "Streptomyces" "sp._M2"
"1211" "Lysobacter" "ciconiae"
"1311" "Acinetobacter" "guillouiae"
"1411" "Brevundimonas" "vancanneytii"
"1511" "Acinetobacter" "soli"
"1611" "Leuconostoc" "carnosum"
"1711" "Acinetobacter" "sp._TTH0-4"
"1811" "Mycoplasma" "sp._1654_15"
"1911" "Acinetobacter" "junii"
"2011" "Borreliella" "burgdorferi"
"2111" "Lysobacter" "sp._H23M47"
"2211" "Lysobacter" "avium"
"2311" "Acinetobacter" "baylyi"
"2411" "Chloracidobacterium" "s"
"2511" "Priestia" "koreensis"
"2611" "Rhizobium" "sp._TRM95796"
"2711" "Shinella" "sedimenti"
"2811" "Sphingobium" "sp._YBL2"
"2911" "Bacillus" "sp._PGP15"
"3011" "Veillonella" "parvula"
"3111" "Streptococcus" "thermophilus"
"3211" "_" "s"
"3311" "Streptococcus" "salivarius"
"3411" "Dolosigranulum" "pigrum"
"3511" "Myroides" "cloacae"
"3611" "Flavobacterium" "sp._I3-2"
"3711" "Rhodoferax" "sp._TBRC_17307"
"3811" "Rosistilla" "s"
"3910" "Euhalothece" "natronophila"
"4010" "Acinetobacter" "bereziniae"
"4110" "Leuconostoc" "gasicomitatum"
"4210" "Mycoplasmopsis" "arginini"
"4310" "Jeotgalicoccus" "sp._WY2"
"4410" "Collimonas" "s"
"4510" "Sphingopyxis" "sp._MG"
"4610" "_" "s"
"4710" "Thioalkalivibrio" "s"
"4810" "Rhodoferax" "s"
"494" "Acinetobacter" "lwoffii"
"501" "Diaphorobacter" "nitroreducens"
"512" "Bacillus" "licheniformis"
"521" "Flavobacterium" "magnum"
"531" "Ferriphaselus" "amnicola"
"541" "Micromonospora" "sp._WMMC264"
"551" "Thermobaculum" "terrenum"
"561" "Bacillus" "spizizenii"
"571" "Acholeplasma" "laidlawii"
"581" "Mogibacterium" "diversum"
"591" "Tritonibacter" "mobilis"
"601" "Nodularia" "sphaerocarpa"
"613" "Echinicola" "sp._20G"
"621" "Sphingobium" "sp._LF-16"
"631" "Pradoshia" "sp._D12"
"641" "Bordetella" "genomosp._6"
"651" "Bacillus" "sp._FJAT-18017"
"661" "Acinetobacter" "sp._TR3"
"671" "Cupriavidus" "sp._KK10"
"681" "Peribacillus" "psychrosaccharolyticus"
"691" "Planococcus" "sp._N022"
"701" "Microbulbifer" "thermotolerans"
"713" "Micavibrio" "aeruginosavorus"
"721" "Rickettsia" "endosymbiont_of_Bemisia_tabaci"
"731" "Microbulbifer" "sp._H12"
"741" "Mesobacillus" "sp._AQ2"
"751" "Paenibacillus" "sp._KACC_21273"
"761" "_" "s"
"771" "Sphingobacterium" "faecium"
"781" "Erysipelothrix" "larvae"
"791" "Bartonella" "krasnovii"
"801" "Pseudorhodobacter" "turbinis"
"813" "_" "s"
"821" "Flexistipes" "sinusarabici"
"831" "Weissella" "confusa"
"841" "Acidianus" "brierleyi"
"851" "Mangrovimonas" "sp._YM274"
"861" "Paenibacillus" "sp._PK4536"
"871" "Kordiimonas" "sp._SCSIO_12610"
"881" "Pseudanabaena" "mucicola"
"891" "Streptomyces" "sp._WA1-19"
