"","SRR25582257","SRR25582262","SRR25582261","SRR25582258","SRR25582263","SRR25582255","SRR25582259","SRR25582254","SRR25582260","SRR25582256","SRR8921820","SRR8921819","SRR8921825","SRR8921818","SRR8921821"
"3015177",3549,11711,13050,11327,9285,6521,8131,5290,4699,811,213,186,304,233,185
"946333",2319,13020,11463,10175,8065,4872,7655,3384,3589,625,173,85,161,156,110
"1882749",1161,13011,11893,10718,7965,4073,6617,3118,4310,678,1500,1411,694,1221,1399
"1617967",12883,2834,4072,3611,2596,7448,2603,6668,1260,430,70,82,120,75,116
"1824",6778,12843,11550,11478,10418,9649,10021,6984,4612,1062,140,119,263,171,107
"1761016",12771,1933,2273,2068,1596,3675,1482,4104,659,214,48,45,49,56,32
"2602016",3675,10500,12735,12155,8397,5797,8004,4392,4380,897,717,706,440,554,473
"2722752",2774,12717,9304,8714,10592,12049,9101,9712,7073,787,194,226,306,204,124
"212767",12647,4242,4058,4060,3521,5907,4550,5416,1511,539,47,38,308,183,78
"314722",6474,8524,7868,7052,5693,12639,5097,8157,4834,1527,100,109,123,102,78
"1324796",9145,9620,6353,5084,4787,12606,3715,8831,2671,1630,158,169,98,140,111
"114",1716,12296,12546,11284,10300,6662,10446,5568,4701,592,316,282,292,338,235
"1207075",105,10536,12524,2486,1029,418,669,315,934,172,7,6,5,6,1
"2937801",4370,5354,4698,4644,5298,12497,5082,11238,1828,804,75,77,176,89,60
"1353260",537,11912,10045,8062,10015,4094,12394,4105,4219,342,6,0,84,28,22
"384",4737,10954,12368,11340,8523,9137,8865,7049,4748,978,417,365,406,417,355
"412690",12341,5184,4181,4196,3750,5389,3623,4071,2034,341,66,55,119,83,42
"28095",7098,11342,12329,11584,8882,7917,8639,5447,4079,1032,166,149,215,184,168
"2851567",12295,9727,6356,6703,10009,7958,8432,7565,2706,437,42,34,95,51,33
"2598579",1874,11884,12257,11495,9375,5678,10276,4447,4639,677,263,252,279,295,234
"2419771",12244,2704,2641,2553,2344,4085,2214,3250,1122,253,48,40,71,43,43
"69",8031,10832,10477,9622,7896,12225,7087,8218,4227,1514,136,141,176,133,117
"107709",1310,10093,12189,10924,7959,4435,6775,3342,3889,621,544,478,309,484,512
"2053",9288,12187,11618,11244,10339,10098,10009,7647,5005,977,161,137,310,195,133
"2763071",12187,1212,2053,1649,1114,6763,1295,6760,548,611,42,46,46,49,58
"75697",12139,3701,3889,3533,2631,2615,2542,1785,1390,285,60,45,77,51,52
